sn,district,municipality_eng,municipality_nep,type,code
1,taplejung,phaktanlung,फक्ताङ्लुङ्ग,rural,10101
2,taplejung,mikwakhola,मिक्वाखोला,rural,10102
3,taplejung,meringden,मेरिङ्गदेन,rural,10103
4,taplejung,maiwakhola,मैवाखोला,rural,10104
5,taplejung,aatharai tribeni,आठराई त्रिवेणी,rural,10105
6,taplejung,phungling,फुङलिङ्ग,urban,10106
7,taplejung,pathivara yangwarak,पाथीभरा याङवरक,rural,10107
8,taplejung,sirijanga,सिरीजङ्गा,rural,10108
9,taplejung,sidingba,सिदिङ्गवा,rural,10109
10,sankhuwasabha,bhotkhola,भोटखोला,rural,10201
11,sankhuwasabha,makalu,मकालु,rural,10202
12,sankhuwasabha,silichong,सिलीचोङ,rural,10203
13,sankhuwasabha,chichila,चिचिला,rural,10204
14,sankhuwasabha,sabhapokhari,सभापोखरी,rural,10205
15,sankhuwasabha,khandabari,खाँदबारी,urban,10206
16,sankhuwasabha,panchakhapan,पाँचखपन,urban,10207
17,sankhuwasabha,chainapur,चैनपुर,urban,10208
18,sankhuwasabha,madi,मादी,urban,10209
19,sankhuwasabha,dharmadevi,धर्मदेवी,urban,10210
20,solukhumbu,khumbu pasanglhamu,खुम्बु पासाङल्हामु,rural,10301
21,solukhumbu,mahakulung,माहाकुलुङ,rural,10302
22,solukhumbu,sotang,सोताङ,rural,10303
23,solukhumbu,mapya dudhkoshi,माप्य दुधकोशी,rural,10304
24,solukhumbu,thulung dudhkoshi,थुलुङ दुधकोशी,rural,10305
25,solukhumbu,necha salyan,नेचासल्यान,rural,10306
26,solukhumbu,solu dhudhakunda,सोलुदुधकुण्ड,urban,10307
27,solukhumbu,likhu pike,लिखु पिके,rural,10308
28,okhaldhunga,chishankhu gadhi,चिशंखुगढी,rural,10401
29,okhaldhunga,siddhicharan,सिद्धिचरण,urban,10402
30,okhaldhunga,molung,मोलुङ्ग,rural,10403
31,okhaldhunga,khiji demba,खिजीदेम्बा,rural,10404
32,okhaldhunga,likhu,लिखु,rural,10405
33,okhaldhunga,champadevi,चम्पादेवी,rural,10406
34,okhaldhunga,sunkoshi,सुनकोशी,rural,10407
35,okhaldhunga,manebhanjyang,मानेभन्ज्याङ्ग,rural,10408
36,khotang,kepilasgadhi,केपिलासगढी,rural,10501
37,khotang,aiselukharka,ऐसेलुखर्क,rural,10502
38,khotang,rawa besi,रावा बेसी,rural,10503
39,khotang,halesi tuwachung,हलेसी तुवाचुङ,urban,10504
40,khotang,diktel rupakot majhuwagadhi,दिक्तेल रुपाकोट मझुवागढी,urban,10505
41,khotang,sakela,साकेला,rural,10506
42,khotang,diprung chuichumma,दिप्रुङ चुइचुम्मा,rural,10507
43,khotang,khotehang,खोटेहाङ,rural,10508
44,khotang,jante dhunga,जन्तेढुङ्गा,rural,10509
45,khotang,baraha pokhari,बराहपोखरी,rural,10510
46,bhojpur,shadananda,षडानन्द,urban,10601
47,bhojpur,salpa silichho,साल्पासिलिछो,rural,10602
48,bhojpur,temkemaiyum,टेम्केमैयुङ,rural,10603
49,bhojpur,bhojpur,भोजपुर,urban,10604
50,bhojpur,arun,अरुण,rural,10605
51,bhojpur,pauwa dunma,पौवा दुङ्मा,rural,10606
52,bhojpur,ramprasad rai,रामप्रसाद राई,rural,10607
53,bhojpur,hatuwagadhi,हतुवागढी,rural,10608
54,bhojpur,aamchowk,आमचोक,rural,10609
55,dhankuta,mahalaxmi,महालक्ष्मी,urban,10701
56,dhankuta,pakhribas,पाख्रिबास,urban,10702
57,dhankuta,chhathar jorpati,छथर जोरपाटी,rural,10703
58,dhankuta,dhankuta,धनकुटा,urban,10704
59,dhankuta,shahidbhumi,सहिदभूमि,rural,10705
60,dhankuta,sangurigadhi,साँगुरीगढी,rural,10706
61,dhankuta,chaubise,चौविसे,rural,10707
62,terhathum,aatharai,आठराई,rural,10801
63,terhathum,phedap,फेदाप,rural,10802
64,terhathum,menchhayayem,मेन्छयायेम,rural,10803
65,terhathum,myanglung,म्याङ्गलुङ्ग,urban,10804
66,terhathum,laligurans,लालीगुराँस,urban,10805
67,terhathum,chhathar,छथर,rural,10806
68,panchthar,yangbarak,याङवरक,rural,10901
69,panchthar,hilihan,हिलिहाङ्ग,rural,10902
70,panchthar,falelung,फालेलुङ ,rural,10903
71,panchthar,phidim,फिदिम,urban,10904
72,panchthar,falgunanda,फाल्गुनन्द,rural,10905
73,panchthar,kummayak,कुम्मायक,rural,10906
74,panchthar,tumbewa,तुम्बेवा,rural,10907
75,panchthar,miklajung,मिक्लाजुङ,rural,10908
76,ilam,mai jogmai,माई जोगमाई,rural,11001
77,ilam,sandakpur,सन्दकपुर,rural,11002
78,ilam,illam,ईलाम,urban,11003
79,ilam,deumai,देउमाई,urban,11004
80,ilam,fakfokathum,फाकफोकथुम,rural,11005
81,ilam,mangsebung,माङसेबुङ,rural,11006
82,ilam,chulachuli,चुलाचुली,rural,11007
83,ilam,mai,माई,urban,11008
84,ilam,suryodaya,सूर्योदय,urban,11009
85,ilam,rong,रोङ,rural,11010
86,jhapa,mechinagar,मेचीनगर,urban,11101
87,jhapa,buddhashanti,बुद्धशान्ति,rural,11102
88,jhapa,arjundhara,अर्जुनधारा,urban,11103
89,jhapa,kankai,कन्काई,urban,11104
90,jhapa,shivasatakshi,शिवसताक्षी,urban,11105
91,jhapa,kamal,कमल,rural,11106
92,jhapa,damak,दमक,urban,11107
93,jhapa,gauradaha,गौरादह,urban,11108
94,jhapa,gauriganj,गौरिगञ्ज,rural,11109
95,jhapa,jhapa,झापा,rural,11110
96,jhapa,barhadashi,बाह्रदशी,rural,11111
97,jhapa,birtamod,बिर्तामोड,urban,11112
98,jhapa,haldibari,हल्दीबारी,rural,11113
99,jhapa,bhadrapur,भद्रपुर,urban,11114
100,jhapa,kachanakawal,कचनकवल,rural,11115
101,morang,miklajung,मिक्लाजुङ,rural,11201
102,morang,letang,लेटाङ,urban,11202
103,morang,kerabari,केराबारी,rural,11203
104,morang,sundarharaicha,सुन्दरहरैंचा,urban,11204
105,morang,belbari,बेलबारी,urban,11205
106,morang,kanepokhari,कानेपोखरी,rural,11206
107,morang,pathari shanishchare,पथरी शनिश्चरे,urban,11207
108,morang,urlabari,उर्लाबारी,urban,11208
109,morang,ratuwamai,रतुवामाई,urban,11209
110,morang,sunwarshi,सुनवर्षी,urban,11210
111,morang,rangeli,रंगेली,urban,11211
112,morang,gramthan,ग्रामथान,rural,11212
113,morang,budhiganga,बुढीगंगा,rural,11213
114,morang,biratnagar,बिराटनगर,metropolitian,11214
115,morang,katahari,कटहरी,rural,11215
116,morang,dhanapalthan,धनपालथान,rural,11216
117,morang,jahada,जहदा,rural,11217
118,sunsari,dharan,धरान,sub-metropolitian,11301
119,sunsari,barahachhetra,बराहक्षेत्र,urban,11302
120,sunsari,koshi,कोशी,rural,11303
121,sunsari,bhokraha narsingh,भोक्राहा नरसिंह,rural,11304
122,sunsari,ramdhuni,रामधुनी,urban,11305
123,sunsari,itahari,ईटहरी,sub-metropolitian,11306
124,sunsari,duhabi,दुहबी,urban,11307
